creator_id,name,youtube_handle,video_rows,transcript_videos
170,"Amila Bro","@AmilaBro",0,0
147,"Andreas M. Antonopoulos","@aantonop",0,0
195,"Augusto Backes","@AugustoBackes",0,0
196,"Aventure Crypto","channel/UCdeNXmhpAIHMAGQD3vFW99Q",0,0
149,"BFM Crypto","channel/UC9jq6tr49rHZTUK-Jm1hV4w",0,0
197,"Bintense","channel/UClPeiwRWRPf6XLMLRYFsdaw",0,0
198,"BitJom PH","@BitJomPH",0,0
150,"Bitcoin Expert India","@BitcoinExpertIndia",0,0
151,"Bitcoin Indonesia","channel/UC8uYnlRXt__92AUhLWLWgFw",0,0
171,"Bitcoin TV","channel/UCSSXEml-1o9J1ZsNGMF1lQg",0,0
152,"Bitcoin Trading Challenge","channel/UC-dLWl8etTtPSGdbbcYffGw",0,0
154,"Blockchain Backer","channel/UCia6oYbLKo8fLOguATpACmA",0,0
172,"Blockchain Ben","channel/UC3p4k68KnVGJvLQkEE83P_w",0,0
173,"Blockchain Crypto","channel/UCyyqk56AXPMOz40-Pu7Zo-g",0,0
174,"Brandon Kelly Crypto Trader","channel/UC-f5nPBEDyUBZz_jOPBwAfQ",0,0
175,"Christian Victorius","@ChristianVictorius",0,0
176,"CoinCasso","channel/UCRGIWPbcK7pPlZ0bePHZxDQ",0,0
177,"CoinsKid","channel/UCeBbEvlSOeJMwSVYOdXOvvw",0,0
199,"Crypto Alina","channel/UCrXpxOgkXOAJnEdbGVnF1gg",0,0
200,"Crypto Banter +","channel/UCybasP-2D2b5kTLAb_kvhWQ",0,0
178,"Crypto Basics","@CryptoBasicsBD",0,0
201,"Crypto Crow","channel/UCwsRWmIL5XKqFtdytBfeX0g",0,0
156,"Crypto Deutschland","channel/UC9M0AlqCwycSsL0XfDgaz-g",0,0
202,"Crypto Face","channel/UCnpL_SpKLZpwAAIWmWpCIzQ",0,0
157,"Crypto Flash France","channel/UC7t8V-dJPWfmAXEK2tvma1A",0,0
203,"Crypto Inspector","channel/UCEpMrACLAX8W2NvbWe_kZQQ",0,0
179,"Crypto Kaiba","channel/UCx9Z8LQWzCehWv5GqqPUPjw",0,0
159,"Crypto Le Trone","channel/UC5kh_CumIL_usjg3pW5J9Qw",0,0
180,"Crypto Love","channel/UCu7Sre5A1NMV8J3s2FhluCw",0,0
204,"Crypto Mason","channel/UCPR9ga3sv5oakMB544M61Bw",0,0
181,"Crypto Profi Schweiz","channel/UCwi9Ntnk_sCw0DSW8bP0DPg",0,0
205,"Crypto Sheinix","@CryptoSheinix",0,0
182,"Crypto Shubhrant chaudhary","@cryptoshubhrantchaudhary8012",0,0
183,"CryptoJack","channel/UCBjrrP9frGRuRwoAJ4RQdag",0,0
184,"Czero : Crypto et Bitcoin pour tous","channel/UCKffaugnQVKp3G0hrhP-tew",0,0
185,"Didi Random","channel/UCoMc0zniPatlGpR6OQiM-Qg",0,0
206,"Docteur Crypto","channel/UC35L0fCIFfpgTne_3-JnFIg",0,0
207,"Dương Alex","@duongalex2",0,0
188,"EZC - Trading","channel/UCaEmEcGngLdmOTeyirL4j6w",0,0
186,"Earn With Rk","@EarnWithRK",0,0
187,"Earn With Sapna","@earnwithsapna",0,0
161,"Hasheur","channel/UChlTcWDE8gd4tsl_L727NrQ",0,0
208,"Ismail Luno","@IsmailLuno",0,0
191,"JRNY Crypto","channel/UC188KLMYLLGqVJZdYq7mYFw",0,0
189,"Jesse Eckel","channel/UCPFMk8WxX3SJKy1jh61xxGw",0,0
190,"Joe Parys Crypto","channel/UCRukJuuBAdoHMTBIsFJAgvw",0,0
209,"Joris","channel/UCzdIts_jgMM-ehV4bKmObKw",0,0
211,"KRYPTOSPHERE®","channel/UCXkbPLYTAegwnqeMMC08YzA",0,0
210,"Kenal Kripto","@KenalKripto",0,0
192,"KryptoJugend","channel/UCRMF41Ybk3qVIyo0fuG8P0g",0,0
162,"Les Rois du Bitcoin","channel/UCv9sIj-mKR4qEr_yYAywR1A",0,0
83,"Mikybull Crypto","@MikybullCrypto",0,0
163,"MoneyZG","channel/UCIEvlRpHBVFthrF6pZzBEXw",0,0
212,"Not Your Financial Advisor","@CryptopherTan",0,0
193,"PARLONS DE TOUT","channel/UC_PZx3xmmWTtXzB_fc0pz9w",0,0
73,"Raoul Pal","@RaoulGMI",0,0
194,"Real-Crypto","channel/UC93MJYEjwCW3-9ipq09k7XQ",0,0
213,"Simply Bitcoin","@SimplyBitcoin",0,0
165,"SwissCryptoJay","channel/UCWM1uBxzGpNb4RyxtFc3A8g",0,0
78,"Taiki Maeda","@TaikiMaeda2",0,0
214,"The Bitcoin Express","channel/UCEjgpiDPhTErrJm6zeNeAAw",0,0
215,"Thinking Crypto","channel/UCjpkwsuHgYx9fBE0ojsJ_-w",0,0
216,"Tom Crown","channel/UCiuD3eNaZ95eSXImp_eSIww",0,0
168,"VoskCoin","channel/UCT44w6854K62cSiwA1aiXfw",0,0
169,"Wael - Blockchain Academics","channel/UChdlb_HfMQ3gtzo7_K22RLA",0,0
