db	rank	path	node_mentions	labels
opt-crypto-tuber-ranked.db	1	docs/plans/2026-06-11-callscore-canonical-master-plan.md	232	Section:230,File:1,Module:1
opt-crypto-tuber-ranked.db	2	docs/frontend-design-spec.md	143	Section:141,File:1,Module:1
opt-crypto-tuber-ranked.db	3	src/scripts/extract-calls-llm.ts	70	Function:34,Variable:25,Interface:6,Type:3,File:1
opt-crypto-tuber-ranked.db	4	src/lib/pipeline.ts	56	Function:30,Interface:10,Variable:10,Type:4,File:1
opt-crypto-tuber-ranked.db	5	docs/global-creator-channel-verification.json	54	Variable:52,File:1,Module:1
opt-crypto-tuber-ranked.db	6	src/lib/ml-verifier.ts	54	Function:32,Variable:11,Interface:5,Type:4,File:1
opt-crypto-tuber-ranked.db	7	src/scripts/backfill-transcripts.ts	51	Function:30,Variable:12,Interface:5,Type:2,File:1
opt-crypto-tuber-ranked.db	8	src/scripts/benchmark-local-extractors.ts	49	Function:27,Variable:9,Interface:6,Type:5,File:1
opt-crypto-tuber-ranked.db	9	callscore-g10-approval-packet/launch-batch/drafts/scorecard_5.json	46	Variable:44,File:1,Module:1
opt-crypto-tuber-ranked.db	10	callscore-g10-approval-packet/launch-batch/drafts/scorecard_3.json	46	Variable:44,File:1,Module:1
opt-crypto-tuber-ranked.db	11	callscore-g10-approval-packet/launch-batch/drafts/scorecard_1.json	46	Variable:44,File:1,Module:1
opt-crypto-tuber-ranked.db	12	callscore-g10-approval-packet/launch-batch/drafts/scorecard_4.json	46	Variable:44,File:1,Module:1
opt-crypto-tuber-ranked.db	13	callscore-g10-approval-packet/launch-batch/drafts/scorecard_2.json	46	Variable:44,File:1,Module:1
opt-crypto-tuber-ranked.db	14	docs/audits/hermes-agentic-workflow-audit.md	45	Section:43,File:1,Module:1
opt-crypto-tuber-ranked.db	15	src/lib/webhooks.ts	45	Function:26,Variable:11,Interface:6,File:1,Module:1
opt-crypto-tuber-ranked.db	16	src/scripts/run-data-pipeline.ts	43	Function:22,Variable:16,Interface:2,File:1,Module:1
opt-crypto-tuber-ranked.db	17	src/lib/self-correction.ts	43	Function:17,Variable:14,Interface:8,Type:2,File:1
opt-crypto-tuber-ranked.db	18	src/scripts/scrape-transcripts-v2.ts	40	Function:27,Interface:8,Type:3,File:1,Module:1
opt-crypto-tuber-ranked.db	19	src/lib/db.ts	39	Function:18,Variable:8,Interface:6,Type:5,File:1
opt-crypto-tuber-ranked.db	20	docs/audits/gemma-production-shadow-sample-fullcover-20260613T155241Z.summary.json	38	Variable:36,File:1,Module:1
opt-crypto-tuber-ranked.db	21	README.md	37	Section:35,File:1,Module:1
